Customer_ID,Age,Gender,City_Tier,Employment_Type,Customer_Segment,Tenure_Months,Monthly_Income,Account_Balance,Credit_Score,Product_Type,Products_Used,Preferred_Channel,Loyalty_Member,Transactions_Last_3M,Transactions_Previous_3M,Transaction_Change_Pct,Avg_Transaction_Value,App_Usage_Hours_Last_3M,App_Usage_Hours_Previous_3M,App_Usage_Change_Pct,Last_Login_Days_Ago,Customer_Support_Calls,Complaints,Satisfaction_Score,Offers_Used,Balance_Change_Pct,Churn
C100042,28,Male,Tier 1,Salaried,Standard,55,58400,36300,733,Current,3,Mobile App,No,21,31,-32.3,3457,5.3,4.2,26.0,5,2,0,9,0,-21.4,0
C100043,58,Female,Tier 1,Student,Emerging,7,19400,132000,790,Savings,1,Web,Yes,42,35,20.0,4239,9.2,7.9,16.1,11,5,1,5,0,-10.9,0
C100044,47,Male,Tier 2,Salaried,Standard,83,38500,201900,745,Savings,5,Web,No,37,32,15.6,2181,1.1,1.2,-9.2,12,1,2,5,0,-12.4,0
C100045,24,Male,Tier 1,Salaried,Standard,80,23600,30100,654,Savings,4,Web,Yes,21,31,-32.3,2880,0.5,1.0,-50.6,17,3,0,6,0,-24.8,0
C100046,38,Male,Tier 2,Salaried,Standard,89,75600,394200,742,Salary,2,Mobile App,No,39,34,14.7,2881,4.9,7.9,-38.0,18,2,0,10,0,-20.3,0
C100047,43,Female,Tier 2,Business,Standard,38,57200,188200,719,Savings,3,Phone,No,21,29,-27.6,3795,5.4,4.3,26.0,8,2,1,8,1,-24.0,0
C100048,47,Male,Tier 1,Salaried,Basic,31,93800,184900,729,Current,1,Mobile App,No,24,26,-7.7,3337,8.3,7.0,18.4,11,1,0,10,2,-22.6,0
C100049,65,Male,Tier 3,Salaried,Standard,2,68400,224700,819,Current,3,Web,No,31,27,14.8,5109,8.9,9.6,-7.1,6,2,0,8,0,-5.9,0
C100050,66,Male,Tier 1,Salaried,Basic,71,110800,303800,712,Premium,1,ATM,Yes,28,31,-9.7,4062,4.4,5.1,-13.8,8,1,2,7,0,-1.2,0
C100051,69,Male,Tier 3,Business,Standard,50,66300,447500,705,Salary,3,Mobile App,No,26,28,-7.1,2086,0.5,0.6,-10.7,18,1,0,7,4,8.2,1
C100052,30,Female,Tier 2,Salaried,Standard,47,40400,238100,792,Savings,2,Mobile App,No,36,35,2.9,4569,6.3,5.8,7.8,25,0,1,8,1,-38.2,0
C100053,47,Female,Tier 1,Salaried,Standard,14,78900,204600,810,Savings,4,Mobile App,No,45,35,28.6,3933,5.2,6.5,-20.4,19,2,1,7,3,14.3,0
C100054,34,Female,Tier 3,Self-employed,Standard,1,66000,199000,651,Savings,4,Mobile App,No,13,18,-27.8,2834,2.3,2.4,-6.1,13,2,0,3,2,-12.2,0
C100055,48,Female,Tier 2,Salaried,Standard,33,49900,73700,638,Premium,2,ATM,No,31,28,10.7,1638,4.0,4.7,-15.6,12,4,2,9,1,-0.6,0
C100056,69,Male,Tier 1,Business,Standard,90,81300,507100,725,Current,2,ATM,Yes,37,30,23.3,3127,3.4,3.2,6.2,18,0,2,6,1,-18.5,0
C100057,38,Male,Tier 2,Retired,Standard,91,63000,237800,665,Salary,2,Mobile App,No,14,23,-39.1,3470,10.6,8.6,23.0,12,1,1,10,2,32.9,0
C100058,57,Female,Tier 2,Retired,Basic,12,33800,41600,679,Premium,1,Mobile App,Yes,41,31,32.3,2491,7.2,7.0,2.3,12,0,0,6,3,1.1,0
C100059,35,Female,Tier 2,Self-employed,Standard,12,62300,460000,689,Salary,2,Phone,Yes,40,45,-11.1,2888,0.7,1.2,-39.3,2,1,1,10,1,-13.0,0
C100060,62,Female,Tier 1,Business,Standard,31,38300,157100,565,Premium,4,Mobile App,Yes,42,35,20.0,3750,9.3,8.5,9.1,12,0,2,9,2,-30.7,0
C100061,64,Female,Tier 1,Salaried,High Value,22,101500,751900,741,Current,4,Mobile App,No,28,28,0.0,3116,5.7,5.9,-2.6,15,0,1,9,0,-9.3,0
C100062,37,Female,Tier 2,Self-employed,Basic,77,63500,85200,712,Savings,1,Web,No,38,29,31.0,3891,4.4,4.5,-1.3,3,1,0,1,3,-0.2,0
C100063,57,Male,Tier 2,Business,Standard,28,53100,184800,641,Savings,2,Mobile App,Yes,25,27,-7.4,2964,4.9,5.7,-13.8,3,0,0,6,2,16.8,0
C100064,59,Male,Tier 1,Salaried,Standard,15,34400,136800,728,Salary,5,Mobile App,Yes,32,26,23.1,2517,2.6,3.0,-12.6,16,1,2,10,4,-9.1,0
C100065,47,Male,Tier 1,Salaried,High Value,3,81500,298000,679,Savings,3,Web,Yes,22,20,10.0,5179,6.3,7.6,-17.4,4,1,0,9,1,-12.3,0
C100066,57,Female,Tier 3,Self-employed,Basic,27,53200,268500,748,Salary,1,Branch,Yes,24,27,-11.1,1437,6.0,7.5,-20.2,16,1,1,9,1,-17.9,0
C100067,45,Male,Tier 3,Retired,Emerging,1,24800,143300,647,Salary,3,Mobile App,No,21,28,-25.0,100,1.3,1.2,8.9,9,4,1,8,3,22.0,0
C100068,21,Female,Tier 1,Business,Standard,96,22300,29000,700,Premium,3,Web,Yes,28,26,7.7,1996,2.5,2.6,-5.3,2,1,1,4,2,-13.1,0
C100069,51,Male,Tier 2,Business,Standard,10,31700,18600,810,Salary,3,Branch,Yes,42,31,35.5,2324,4.1,3.5,15.8,15,2,1,10,2,37.8,0
C100070,70,Female,Tier 2,Salaried,Standard,56,60100,373200,693,Savings,2,Phone,No,23,26,-11.5,2942,6.3,5.7,10.5,10,3,0,10,1,45.7,0
C100071,65,Male,Tier 1,Salaried,Standard,17,49700,339500,777,Savings,3,Mobile App,No,45,32,40.6,1606,1.2,1.3,-9.8,4,2,1,4,2,12.4,1
C100072,29,Male,Tier 3,Student,Standard,56,66300,308200,729,Savings,4,Web,No,24,25,-4.0,2920,4.9,6.1,-19.3,14,1,1,6,3,-19.6,0
C100073,68,Male,Tier 1,Salaried,Standard,6,30800,197000,674,Savings,2,Branch,No,31,30,3.3,3259,8.4,14.1,-40.3,14,0,0,7,1,22.1,0
C100074,66,Male,Tier 1,Student,Standard,56,28600,91500,720,Current,2,Web,No,15,27,-44.4,3865,3.6,2.7,35.5,11,0,0,10,1,18.9,0
C100075,39,Female,Tier 1,Student,Standard,38,18500,33000,674,Savings,4,Mobile App,Yes,26,25,4.0,2765,6.9,5.7,20.3,7,2,0,8,1,-20.6,0
C100076,23,Female,Tier 2,Salaried,Standard,58,75700,280000,658,Premium,4,Branch,Yes,25,24,4.2,1513,2.5,1.9,29.2,11,2,0,6,0,3.3,0
C100077,40,Female,Tier 1,Self-employed,Standard,55,37500,215500,689,Savings,2,Mobile App,No,14,20,-30.0,2114,10.7,11.0,-3.0,6,2,1,9,2,-19.0,0
C100078,37,Female,Tier 2,Salaried,Standard,63,67700,161600,744,Current,4,Mobile App,No,38,34,11.8,2232,9.6,8.8,8.8,14,3,0,5,2,46.7,0
C100079,64,Male,Tier 1,Salaried,Standard,68,22400,30100,681,Salary,2,Web,No,33,32,3.1,2134,11.0,11.0,-0.3,21,0,1,7,2,-37.6,0
C100080,26,Male,Tier 3,Salaried,Basic,34,65600,66700,722,Current,1,Mobile App,Yes,27,28,-3.6,3430,4.3,4.1,5.8,17,2,0,7,1,-0.4,0
C100081,59,Female,Tier 1,Self-employed,Standard,58,31300,167200,810,Savings,3,Branch,No,25,24,4.2,5160,14.4,16.6,-13.3,1,1,1,8,0,-0.6,0
C100082,57,Female,Tier 1,Self-employed,Standard,69,32100,191300,801,Salary,2,ATM,Yes,31,39,-20.5,1848,4.3,4.6,-6.3,9,4,0,8,1,-1.2,0
C100083,45,Female,Tier 2,Self-employed,Basic,85,44300,181000,720,Savings,1,Phone,No,35,35,0.0,2846,8.4,16.4,-48.9,5,1,1,9,0,-0.4,0
C100084,58,Female,Tier 3,Self-employed,Standard,16,62200,256900,719,Salary,4,Web,No,38,39,-2.6,3480,7.1,6.6,6.8,17,0,2,8,0,-0.2,0
C100085,32,Female,Tier 1,Business,Standard,95,55100,94700,774,Premium,4,Mobile App,No,20,29,-31.0,1478,4.6,5.4,-14.4,11,1,1,7,3,-40.2,0
C100086,47,Female,Tier 3,Self-employed,Standard,86,35400,136500,622,Salary,2,Mobile App,No,40,40,0.0,3630,15.7,14.3,9.8,13,11,0,10,0,52.9,0
C100087,29,Female,Tier 1,Salaried,Standard,70,37900,273900,633,Salary,2,Mobile App,No,25,29,-13.8,3373,4.4,3.6,23.5,5,3,1,7,0,-7.1,0
C100088,43,Female,Tier 2,Self-employed,Standard,2,44700,237900,661,Savings,4,Web,No,50,33,51.5,2493,3.9,3.4,16.0,19,3,1,6,2,-36.8,0
C100089,24,Female,Tier 3,Salaried,Basic,96,165700,330700,632,Current,1,Mobile App,No,39,27,44.4,2004,2.5,2.7,-7.8,19,1,0,9,1,-2.2,0
C100090,21,Female,Tier 1,Self-employed,Standard,39,52500,365900,810,Current,3,Mobile App,No,34,29,17.2,4510,8.0,6.2,29.7,5,1,1,8,4,-2.8,0
C100091,58,Female,Tier 3,Salaried,Standard,89,48700,326000,757,Savings,3,Mobile App,No,41,28,46.4,2602,4.5,5.1,-11.4,21,3,0,8,2,-17.2,0
C100092,33,Female,Tier 1,Self-employed,Emerging,7,24600,86600,726,Savings,4,ATM,No,19,28,-32.1,3541,3.1,3.3,-7.3,4,1,1,8,1,-1.3,0
C100093,69,Female,Tier 2,Retired,Standard,88,62000,164600,749,Premium,3,Web,No,38,37,2.7,2579,5.6,4.8,15.5,14,2,0,6,2,-11.8,0
C100094,56,Male,Tier 1,Salaried,Standard,29,29900,161900,629,Savings,5,Mobile App,Yes,20,28,-28.6,1528,3.9,5.7,-32.1,14,3,2,4,3,-5.2,0
C100095,58,Male,Tier 2,Business,High Value,22,103300,740500,679,Savings,3,Web,No,24,27,-11.1,2986,5.3,3.9,37.2,11,1,0,6,2,-7.4,0
C100096,22,Female,Tier 1,Business,Standard,96,53800,115700,704,Savings,2,Mobile App,Yes,25,31,-19.4,1274,6.2,6.4,-2.7,13,0,0,6,0,14.8,0
C100097,66,Female,Tier 1,Salaried,Standard,23,33000,226300,616,Current,2,ATM,No,22,28,-21.4,3313,11.9,10.9,9.4,14,0,1,2,0,27.8,0
C100098,26,Female,Tier 1,Salaried,Standard,57,30500,32800,764,Savings,4,Mobile App,Yes,30,28,7.1,4846,1.6,1.7,-7.5,15,3,0,9,2,2.1,0
C100099,44,Male,Tier 1,Self-employed,Standard,8,30400,98200,642,Savings,5,ATM,No,31,25,24.0,3600,12.7,11.4,11.0,12,3,0,8,3,-6.3,0
C100100,38,Male,Tier 3,Salaried,Standard,63,53700,331600,663,Salary,3,Web,No,35,40,-12.5,4220,6.6,5.5,20.0,18,1,0,6,1,-18.8,0
C100101,31,Female,Tier 3,Salaried,Standard,79,49300,285200,711,Premium,2,Mobile App,Yes,39,32,21.9,2204,3.9,4.2,-6.3,37,2,0,10,4,-7.4,0
C100102,50,Female,Tier 1,Student,Standard,30,62500,319800,656,Current,3,Web,No,31,34,-8.8,4150,2.8,3.5,-21.1,7,1,4,6,3,-29.5,0
C100103,56,Male,Tier 2,Salaried,Standard,18,42600,50500,771,Savings,2,ATM,No,16,22,-27.3,1314,1.8,3.3,-45.7,7,0,0,8,3,12.0,0
C100104,20,Female,Tier 1,Salaried,Standard,16,130100,219300,821,Salary,2,Mobile App,No,19,25,-24.0,2712,3.5,2.8,27.1,14,4,0,9,2,9.7,0
C100105,19,Male,Tier 1,Student,Standard,49,41500,184800,738,Premium,2,Web,Yes,39,39,0.0,3304,8.2,8.0,2.7,9,4,0,9,2,-15.7,0
C100106,41,Female,Tier 1,Salaried,High Value,17,190000,954200,727,Savings,4,Phone,Yes,48,31,54.8,3143,3.1,2.9,5.6,5,2,2,8,0,5.5,0
C100107,36,Male,Tier 2,Business,Standard,93,33300,115300,698,Salary,4,Web,Yes,28,33,-15.2,2244,0.6,0.9,-33.2,19,3,1,6,0,8.6,0
C100108,50,Female,Tier 3,Salaried,Standard,54,88000,49800,689,Savings,2,Mobile App,No,33,34,-2.9,2447,2.8,3.3,-14.5,12,2,1,5,1,5.9,0
C100109,52,Male,Tier 2,Business,Standard,21,39700,44200,692,Salary,2,Mobile App,No,16,25,-36.0,4014,2.8,2.9,-3.1,13,4,1,8,1,8.4,0
C100110,57,Female,Tier 3,Salaried,Basic,89,72600,116100,699,Savings,1,Web,Yes,29,28,3.6,3299,10.8,11.0,-2.2,17,2,2,3,1,-8.1,0
C100111,63,Male,Tier 2,Business,High Value,21,129700,683500,693,Savings,5,Web,No,22,27,-18.5,4141,2.6,3.7,-29.9,10,3,1,5,5,16.9,0
C100112,54,Female,Tier 2,Salaried,Standard,89,64700,270100,690,Current,2,Web,No,42,41,2.4,2561,5.8,11.2,-48.3,12,2,0,6,2,-32.2,0
C100113,62,Female,Tier 1,Self-employed,Standard,3,74100,56600,712,Salary,3,Mobile App,No,30,30,0.0,4428,6.6,7.4,-10.4,6,0,0,8,0,12.3,0
C100114,35,Male,Tier 3,Student,Basic,6,157500,802700,779,Savings,1,Mobile App,Yes,29,28,3.6,2471,7.0,8.4,-16.5,5,4,2,1,0,-2.4,0
C100115,22,Female,Tier 3,Salaried,Standard,55,61000,438200,726,Current,5,Branch,No,31,34,-8.8,2066,1.7,1.4,24.2,9,3,2,10,3,9.5,0
C100116,51,Female,Tier 3,Salaried,Standard,55,42000,250800,712,Savings,2,Mobile App,No,26,34,-23.5,2495,9.3,9.7,-4.3,10,2,1,6,2,-5.8,0
C100117,59,Male,Tier 2,Retired,Standard,8,59300,297800,624,Salary,5,Web,No,34,32,6.2,2987,3.4,3.7,-7.7,12,0,0,7,2,-17.5,0
C100118,25,Male,Tier 1,Student,Standard,96,68900,457200,770,Salary,3,Mobile App,No,39,40,-2.5,2344,6.1,7.8,-21.5,11,2,0,5,2,-0.5,0
C100119,60,Female,Tier 1,Business,Basic,22,34700,209000,720,Savings,1,Web,No,20,21,-4.8,4389,0.9,0.8,7.7,4,3,1,5,0,-18.8,0
C100120,49,Female,Tier 1,Student,Standard,53,48200,74700,718,Savings,3,Phone,No,31,33,-6.1,4767,4.1,8.6,-52.6,2,2,0,6,1,-19.7,0
C100121,26,Female,Tier 1,Salaried,High Value,84,134600,462200,822,Current,4,Mobile App,Yes,24,31,-22.6,2492,4.0,3.4,17.4,14,1,1,8,2,-32.1,0
C100122,43,Male,Tier 3,Retired,High Value,69,89500,445600,663,Premium,3,Web,No,18,23,-21.7,3336,8.0,8.1,-1.5,5,1,1,8,2,-13.6,0
C100123,46,Other,Tier 3,Retired,Emerging,2,26100,148100,733,Salary,3,Mobile App,Yes,33,31,6.5,2868,9.0,8.9,1.3,10,5,1,6,2,8.0,0
C100124,58,Female,Tier 2,Business,Basic,31,59400,260600,575,Savings,1,Branch,No,33,30,10.0,3020,6.3,5.9,6.8,14,0,0,6,3,-13.0,0
C100125,47,Female,Tier 1,Student,Standard,84,41800,75000,653,Current,5,Mobile App,No,27,33,-18.2,3712,1.4,1.4,-1.7,21,1,0,4,2,22.7,1
C100126,39,Male,Tier 3,Student,Basic,39,103400,395700,693,Savings,1,Branch,Yes,31,31,0.0,4029,4.5,3.5,27.6,26,1,0,10,4,25.2,0
C100127,70,Female,Tier 1,Salaried,Standard,26,45500,269300,803,Savings,5,Branch,Yes,30,38,-21.1,5526,2.8,2.2,26.3,4,0,1,9,2,-18.1,0
C100128,34,Female,Tier 1,Student,Standard,54,38600,130900,753,Savings,3,Web,Yes,21,35,-40.0,2361,3.1,3.8,-18.7,13,0,0,5,1,-23.4,0
C100129,23,Male,Tier 2,Salaried,Standard,30,32300,77000,633,Current,4,Web,Yes,13,19,-31.6,3574,4.2,6.4,-34.8,4,3,1,8,5,21.7,0
C100130,61,Male,Tier 2,Salaried,Standard,57,29800,212200,718,Savings,2,Branch,No,38,37,2.7,1480,4.3,3.7,14.7,15,3,2,10,1,-11.4,0
C100131,52,Male,Tier 3,Business,Standard,62,65100,297600,686,Salary,3,ATM,Yes,42,38,10.5,4295,1.9,2.2,-12.5,20,1,0,4,1,7.8,0
C100132,68,Male,Tier 2,Salaried,High Value,28,111700,523900,652,Premium,4,Phone,No,34,33,3.0,1143,2.5,3.3,-24.5,6,3,0,7,1,-5.9,0
C100133,24,Female,Tier 3,Self-employed,Basic,1,59500,330400,766,Salary,1,Mobile App,No,33,36,-8.3,2896,0.7,0.6,12.0,5,1,0,5,1,-25.9,0
C100134,21,Male,Tier 2,Retired,Standard,14,46400,25800,694,Savings,2,ATM,Yes,25,25,0.0,2797,1.4,1.9,-27.9,7,0,0,8,4,-18.0,0
C100135,53,Male,Tier 2,Salaried,Standard,13,62800,53000,778,Current,2,ATM,No,27,30,-10.0,2412,6.0,9.6,-37.3,10,3,0,1,2,-9.1,0
C100136,53,Female,Tier 1,Student,Standard,14,75900,511900,677,Premium,3,Phone,No,33,34,-2.9,4138,3.8,2.9,29.1,6,0,5,7,1,54.2,0
C100137,61,Female,Tier 2,Business,Standard,30,29200,178600,816,Current,3,Mobile App,Yes,30,37,-18.9,3974,3.2,4.4,-27.3,7,1,1,10,0,-22.5,0
C100138,37,Male,Tier 2,Business,Standard,95,106200,631200,714,Savings,2,Phone,Yes,45,38,18.4,4716,4.4,4.3,2.7,17,0,1,9,1,-1.6,0
C100139,32,Male,Tier 2,Salaried,Standard,63,45700,48700,811,Salary,2,Phone,Yes,35,36,-2.8,4804,3.0,4.2,-28.4,23,0,1,2,1,16.0,0
C100140,68,Female,Tier 3,Salaried,Standard,3,72800,127300,715,Savings,4,Branch,Yes,40,50,-20.0,4539,7.0,7.1,-1.5,10,2,2,4,1,-1.5,0
C100141,23,Female,Tier 2,Salaried,Standard,64,19800,145300,664,Savings,5,ATM,Yes,33,30,10.0,2669,4.5,4.6,-2.4,16,2,0,5,2,12.7,0
C100142,65,Female,Tier 2,Salaried,Basic,31,31000,93300,644,Salary,1,Web,No,45,37,21.6,2875,3.2,3.4,-6.9,19,2,1,7,1,-0.3,0
C100143,55,Male,Tier 1,Salaried,Basic,51,54000,227400,640,Savings,1,Web,No,24,25,-4.0,3390,3.5,3.3,4.6,3,2,1,10,4,12.7,0
C100144,52,Female,Tier 3,Salaried,High Value,12,84700,273000,694,Savings,3,Mobile App,Yes,30,35,-14.3,3784,3.0,4.6,-35.4,17,1,1,7,0,-12.5,0
C100145,36,Male,Tier 2,Business,Basic,76,28000,41300,757,Current,1,Web,No,33,30,10.0,1881,8.8,8.4,4.4,30,1,0,3,2,19.2,0
C100146,25,Male,Tier 2,Student,Standard,50,33800,232300,744,Salary,4,Mobile App,No,17,16,6.2,5708,3.3,3.2,4.2,9,4,0,9,3,-34.7,0
C100147,34,Male,Tier 2,Salaried,Standard,33,71500,340500,747,Savings,2,Web,Yes,31,34,-8.8,3888,7.3,7.8,-6.3,20,1,1,4,0,19.0,0
C100148,43,Female,Tier 3,Student,Standard,12,48400,108500,713,Savings,3,Mobile App,No,36,33,9.1,2760,0.9,0.7,37.4,6,3,1,5,1,18.3,0
C100149,54,Male,Tier 1,Salaried,Standard,95,24100,108800,749,Savings,2,Mobile App,Yes,32,33,-3.0,2481,5.2,4.9,6.2,11,3,0,9,0,-15.1,0
C100150,34,Female,Tier 3,Salaried,Standard,59,39700,266200,762,Savings,2,Mobile App,No,26,32,-18.8,2782,1.4,2.1,-33.9,14,0,0,8,0,12.7,0
C100151,32,Female,Tier 1,Salaried,Standard,16,49000,53900,711,Savings,2,Web,Yes,27,32,-15.6,3132,4.0,3.6,10.3,33,3,2,3,1,-20.4,0
C100152,28,Female,Tier 2,Self-employed,High Value,71,87600,212100,733,Premium,5,Web,Yes,24,27,-11.1,3263,6.3,6.1,2.6,2,1,0,8,0,0.3,0
C100153,42,Female,Tier 1,Self-employed,Standard,41,43500,35400,695,Savings,4,ATM,Yes,23,23,0.0,2503,6.2,8.1,-23.3,4,4,1,6,1,17.9,0
C100154,67,Female,Tier 1,Business,Standard,10,92900,674400,697,Savings,2,Web,No,15,18,-16.7,2690,0.5,0.5,0.0,11,2,0,7,2,15.9,0
